,price,titles
0,55.0,Arsenal Adult 16/17 Home Shirt
1,60.0,Arsenal Adult 16/17 Long Sleeve Home Shirt
2,55.0,Arsenal Adult 16/17 Away Shirt
3,60.0,Arsenal Adult 16/17 Long Sleeve Away Shirt
4,100.0,Arsenal Authentic 16/17 Home Shirt
5,55.0,Arsenal Ladies 16/17 Home Shirt
6,55.0,Arsenal Ladies 16/17 Away Shirt
7,60.0,Arsenal Adult 16/17 Home Long Sleeve Goalkeeper Shirt
8,55.0,Arsenal Adult Short Sleeve 16/17 Home Goalkeeper Shirt
9,60.0,Arsenal Adult 16/17 Away Goalkeeper Shirt
